marketCategory,year,qtr,gearGroup,portComplex,species,live,comLands
247,1999,3,HKL,BDG,CNRY,N,2304
252,1998,4,HKL,CRS,BLCK,N,10456
972,1997,1,HKL,ERK,RCK9,N,356
250,1998,1,TWL,BDG,CLPR,N,50667
150,1998,4,TWL,OSB,SHRK,N,1011
250,1996,4,NET,MNT,WDOW,N,27
253,1992,4,HKL,CRS,BCAC,N,114
250,1991,3,TWL,OSB,GSRK,N,1
250,1995,2,TWL,CRS,YTRK,N,3346
269,1994,2,HKL,MRO,WDOW,N,579
205,1998,2,FPT,CRS,SSOL,N,2
960,1996,4,TWL,OLA,URCK,N,22
259,1995,3,TWL,OSF,YTRK,N,434
200,1993,4,HKL,OLA,UFLT,N,179
260,1991,1,NET,OSB,SCOR,N,154
159,1992,1,HKL,ERK,SSRK,N,39
250,1997,3,HKL,OLA,FLAG,N,36
261,1997,1,FPT,BDG,CBZN,N,10
209,1995,3,NET,OLA,PTRL,N,4
252,1994,2,HKL,BRG,BLCK,N,1026
250,1994,1,HKL,MNT,RSTN,N,102
250,1993,1,HKL,OLA,PNKR,N,65
175,1991,3,HKL,CRS,USKT,N,143
153,1991,4,HKL,ERK,LSRK,N,306
667,2000,4,TWL,CRS,BLGL,N,138
961,1991,2,NET,OSF,RDBD,N,93
664,1996,3,HKL,BRG,RSTN,N,5042
154,1998,3,NET,OSB,SHRK,N,71
961,1993,2,TWL,MRO,ARRA,N,35838
269,1993,3,TWL,BDG,YTRK,N,21
960,1996,3,HKL,OSF,ROSY,N,2098
211,1992,1,TWL,ERK,DOVR,N,1372193
959,2001,3,HKL,OSF,YEYE,N,688
250,2001,1,TWL,OSF,DBRK,N,17
962,1997,3,HKL,OSF,BRWN,N,1377
959,1996,2,NET,OSD,VRML,N,1612
959,1995,2,HKL,OSB,BLGL,N,109
190,1995,2,HKL,ERK,SABL,N,33122
195,1992,3,NET,MRO,LCOD,N,4444
250,1991,4,TWL,ERK,YEYE,N,1686
165,2000,1,HKL,OSB,ASRK,N,50
960,1997,2,TWL,BRG,SHRP,N,5663
254,1995,3,HKL,BRG,CLPR,N,226
960,1994,4,HKL,OSF,CNRY,N,2265
195,1992,4,TWL,OSF,LCOD,N,31551
960,1997,3,TWL,ERK,URCK,N,2
250,1997,1,TWL,OLA,URCK,N,65
190,1993,3,HKL,BDG,SABL,N,10827
259,1994,3,NET,MNT,YTRK,N,337
198,1992,3,TWL,CRS,GRDR,N,6036
250,1992,2,HKL,OSD,BRWN,N,23
254,1993,4,NET,OSD,CLPR,N,895
190,1993,3,NET,MNT,SABL,N,1614
250,1999,2,TWL,MRO,ARRA,N,13
207,1999,2,TWL,BDG,REX,N,2352
225,2000,1,HKL,OSF,UDAB,N,2
258,1991,1,HKL,MNT,CHNA,N,19
175,1993,2,TWL,MNT,USKT,N,3197
253,1993,3,NET,MNT,WDOW,N,680
207,1996,1,TWL,ERK,REX,N,67797
959,1993,2,TWL,OLA,URCK,N,146
195,1992,1,HKL,CRS,LCOD,N,5062
960,1994,4,TWL,CRS,POP,N,13
225,2000,1,HKL,OLA,UDAB,N,2361
250,1999,2,NET,OSD,FLAG,N,143
175,1998,1,TWL,MRO,USKT,N,8715
195,1998,2,FPT,ERK,LCOD,N,14
959,1997,2,FPT,OSB,URCK,N,145
150,1997,2,HKL,OSF,SHRK,N,757
159,1991,4,TWL,MRO,SSRK,N,148
250,1993,1,HKL,CRS,BDRK,N,5222
253,1993,3,HKL,BRG,YTRK,N,1467
959,1992,2,NET,OSF,RDBD,N,63
959,1991,4,NET,MRO,FLAG,N,12
250,1991,3,NET,OSF,CLPR,N,21368
960,1998,1,HKL,ERK,URCK,N,73
960,1998,3,TWL,CRS,POP,N,431
957,1993,3,TWL,MNT,YTRK,N,3
959,1991,3,NET,MRO,RDBD,N,25
253,1992,2,HKL,ERK,CLPR,N,83
259,1998,1,NET,OSF,YTRK,N,111
957,1997,4,HKL,MNT,BRWN,N,195
250,1991,1,TWL,BRG,BANK,N,68066
959,1993,4,HKL,OSD,BCAC,N,466
