sampleNumber,clusterNumber,species,weight,year,qtr,portComplex,gearGroup,marketCategory,live
199705511,1,GRAS,12,1997,4,BDG,HKL,652,N
199705515,1,GRAS,7,1997,4,BDG,HKL,652,N
199705516,1,BYEL,7,1997,4,BDG,HKL,962,N
199705518,1,GRAS,18,1997,4,BDG,HKL,652,N
199705520,1,BYEL,1,1997,4,BDG,HKL,962,N
199705520,1,GPHR,19,1997,4,BDG,HKL,962,N
199705521,1,CHNA,8,1997,4,BDG,HKL,258,N
199706000,1,CLPR,50,1997,1,BRG,TWL,250,N
199706000,2,CLPR,50,1997,1,BRG,TWL,250,N
199706001,1,BANK,9,1997,1,BRG,TWL,250,N
199706001,1,CLPR,40,1997,1,BRG,TWL,250,N
199706058,1,STRK,1,1997,3,BRG,TWL,250,N
199706059,1,CLPR,40,1997,3,BRG,TWL,250,N
199706059,1,GSPT,1,1997,3,BRG,TWL,250,N
199706059,1,SBLY,1,1997,3,BRG,TWL,250,N
199706059,1,YTRK,8,1997,3,BRG,TWL,250,N
199706060,1,SPKL,2,1997,3,BRG,TWL,269,N
199706060,1,WDOW,48,1997,3,BRG,TWL,269,N
199706060,2,SPKL,1,1997,3,BRG,TWL,269,N
199706060,2,WDOW,49,1997,3,BRG,TWL,269,N
199706061,1,WDOW,50,1997,3,BRG,TWL,269,N
199706061,2,WDOW,51,1997,3,BRG,TWL,269,N
199706062,1,LSPN,23,1997,3,BRG,TWL,678,N
199706062,1,SSPN,2,1997,3,BRG,TWL,678,N
199706063,1,BANK,4,1997,3,BRG,TWL,250,N
199706063,1,BLGL,6,1997,3,BRG,TWL,250,N
199706063,1,CLPR,2,1997,3,BRG,TWL,250,N
199706063,1,DBRK,30,1997,3,BRG,TWL,250,N
199706063,1,RSTN,1,1997,3,BRG,TWL,250,N
199706063,1,SNOS,7,1997,3,BRG,TWL,250,N
199706063,2,BANK,7,1997,3,BRG,TWL,250,N
199706063,2,BLGL,9,1997,3,BRG,TWL,250,N
